ticker,sector,industry,employees,description
CNSL,Communication Services,Telecom Services,"3,200","Consolidated Communications Holdings, Inc., together with its subsidiaries, provides broadband and business communication solutions for consumer, commercial, and carrier channels in the United States. It offers high-speed broadband Internet access and voice over Internet protocol (VoIP) phone services; commercial data connectivity services in various markets, including Ethernet services, private line data services, software defined wide area network, and multi-protocol label switching services; networking services; cloud-based services; data center and disaster recovery solutions; and wholesale services to regional and national interexchange, and wireless carriers comprising cellular backhaul and other fiber transport solutions. The company also provides voice services, such as local phone and long-distance services; and sells business equipment, as well as offers related hardware and maintenance support, video, and other miscellaneous services. In addition, it offers video services, which consist of high-definition television, digital video recorders (DVR), and/or a whole home DVR; and on-demand streaming TV services that provide endless entertainment options. Further, the company provides network access services that include interstate and intrastate switched access, network special access, and end user access; and telephone directory publishing, video advertising, billing and support, and other miscellaneous services. Consolidated Communications Holdings, Inc. was founded in 1894 and is headquartered in Mattoon, Illinois."
VBFC,Financial Services,Banks—Regional,146,"Village Bank and Trust Financial Corp. primarily operates as the bank holding company for Village Bank that provides banking and related financial services to small and medium sized businesses, professionals, and individuals. It operates in two segments, Traditional Commercial Banking and Mortgage Banking. The company accepts checking, savings, money market, and individual retirement accounts, as well as certificates of deposit and other depository services. It also offers secured and unsecured commercial business loans for various purposes, such as funding working capital needs, business expansion, and purchase of equipment and machinery; loans for acquiring, developing, constructing, and owning commercial real estate properties; and secured and unsecured consumer loans for financing automobiles, home improvements, education, and personal investments, as well as originates mortgage loans, real estate construction loans, and acquisition loans for sale in the secondary market. In addition, the company offers online and mobile banking, and remote deposit capture services for business clients. It provides its products and services through nine full-service branch banking offices and a mortgage loan production office in Central Virginia in the counties of Chesterfield, Hanover, Henrico, Powhatan, James City, and Richmond City. The company was founded in 1999 and is headquartered in Midlothian, Virginia."
INVA,Healthcare,Biotechnology,5,"Innoviva, Inc. engages in the development and commercialization of pharmaceuticals in the United States and internationally. Its products include RELVAR/BREO ELLIPTA, a once-daily combination medicine consisting of a LABA, vilanterol (VI), an inhaled corticosteroid (ICS), and fluticasone furoate; ANORO ELLIPTA, a once-daily medicine combining a long-acting muscarinic antagonist (LAMA), umeclidinium bromide (UMEC), with a LABA, and VI; and TRELEGY ELLIPTA, a once-daily combination medicine consisting of an ICS, LAMA, and LABA. Innoviva, Inc. has a strategic partnership with Sarissa Capital Management LP. The company has long-acting beta2 agonist (LABA) collaboration agreement with Glaxo Group Limited to develop and commercialize once-daily products for the treatment of chronic obstructive pulmonary disease and asthma. The company was formerly known as Theravance, Inc. and changed its name to Innoviva, Inc. in January 2016. Innoviva, Inc. was incorporated in 1996 and is headquartered in Burlingame, California."
SKX,Consumer Cyclical,Footwear & Accessories,"6,200","Skechers U.S.A., Inc. designs, develops, markets, and distributes footwear for men, women, and children; and performance footwear for men and women worldwide. The company operates through three segments: Domestic Wholesale, International Wholesale, and Direct-to-Consumer. It offers casual, casual athletic, sport athletic, trail, sandals, boots, and retro fashion footwear for men and women under the Skechers USA, Skechers Sport, Skechers Active, Modern Comfort, Skechers Street, Mark Nason, and BOBS brands; sneakers, casuals, boots, and sandals for boys and girls under the Skechers Mega-Craft, S-Lights, SKECH-AIR, Foamies, Twinkle Toes, Z-Strap, Skechers Stretch Fit, and Skechers Street brands; and technical footwear under the Skechers GOrun, Skechers GOwalk, Skechers GOtrain, Skechers GOtrail, and Skechers GO Golf brands. The company also provides men's and women's slip-resistant and safety-toe casuals, boots, hikers, and athletic shoes; and lifestyle apparel for men, women, and kids. As of December 31, 2021, it operated 4,306 company and third party owned Skechers stores. The company sells its products through department and specialty stores, athletic and independent retailers, boutiques, and online retailers; and through its e-commerce sites, concept stores, and factory and warehouse outlet stores. It also licenses its Skechers brand. Skechers U.S.A., Inc. was incorporated in 1992 and is headquartered in Manhattan Beach, California."
TISI,Industrials,Specialty Business Services,"5,200","Team, Inc., together with its subsidiaries, provides asset performance assurance and optimization solutions in the United States, Canada, Europe, and internationally. It operates through Inspection and Heat Treating (IHT), Mechanical Services (MS), and Quest Integrity segments. The IHT segment offers non-destructive evaluation and testing, radiographic testing, ultrasonic testing, magnetic particle inspection, liquid penetrant inspection, positive material identification, electromagnetic testing, alternating current field measurement, and eddy current testing services. This segment also provides long-range guided ultrasonic testing, phased array ultrasonic testing, terminals and storage inspection and management program, rope access, mechanical and pipeline integrity, heat treating, and robotics and inspection services. The MS segment offers engineered composite repair, emissions control/compliance, hot tapping, valve insertion, field machining, bolted joint integrity, vapor barrier plug and weld testing, and valve management services, as well as leak repair services for pipes, valves, and flanges, as well as other parts of piping systems, pipelines, and related assets. The Quest Integrity segment provides furnace tube inspection system-enabled, in-line inspection, pipeline integrity management, engineering and condition assessment, and robotics and inspection services. It also offers onstream services comprising of line stopping and on-line valve insertion solutions. The company serves refining, power, renewables, nuclear, liquefied natural gas, chemical, petrochemical, pulp and paper, automotive, mining, valves, terminals and storage, pipeline, offshore oil and gas, and aerospace and defense industries, as well as amusement parks, bridges, ports, construction and buildings, roads, dams, and railways. Team, Inc. was founded in 1973 and is headquartered in Sugar Land, Texas."
FXNC,Financial Services,Banks—Regional,,"First National Corporation operates as the bank holding company for First Bank that provides various commercial banking services to small and medium-sized businesses, individuals, estates, local governmental entities, and non-profit organizations in Virginia. The company's deposit products include checking, savings, money market, and individual retirement accounts, as well as certificates of deposit and treasury management solutions. Its loan products comprise construction loans, including residential, land acquisition, and development loans; 1-4 family residential real estate loans; and commercial real estate loans that are secured by commercial real estate, including multi-family residential buildings, office and retail buildings, hotels, industrial buildings, and religious facilities. The company's loan products also include commercial and industrial loans that are secured by business assets, such as accounts receivable, equipment, and inventory; home equity loans; and secured and unsecured consumer loans, such as lines of credit, automobile loans, deposit account loans, and installment and demand loans. In addition, it provides wealth management services, including estate planning, investment management of assets, trustee under an agreement, trustee under a will, and estate settlement. Further, the company offers title insurance and investment services; and holds other real estate owned and office sites, as well as provides internet and mobile banking, remote deposit capture, and other traditional banking services. It serves customers through 20 bank branch offices, a loan production office, and a customer service center, as well as through a network of ATMs. The company was founded in 1907 and is headquartered in Strasburg, Virginia."
EWLL,Healthcare,Health Information Services,2,"eWellness Healthcare Corporation, a physical therapy telehealth company, provides real-time distance monitored assessments and treatments. The company was incorporated in 2011 and is based in Fort Lauderdale, Florida."
TRV,Financial Services,Insurance—Property & Casualty,"30,184","The Travelers Companies, Inc., through its subsidiaries, provides a range of commercial and personal property, and casualty insurance products and services to businesses, government units, associations, and individuals in the United states and internationally. The company operates through three segments: Business Insurance, Bond & Specialty Insurance, and Personal Insurance. The Business Insurance segment offers workers' compensation, commercial automobile and property, general liability, commercial multi-peril, employers' liability, public and product liability, professional indemnity, marine, aviation, onshore and offshore energy, construction, terrorism, personal accident, and kidnap and ransom insurance products. This segment operates through select accounts, which serve small businesses; commercial accounts that serve mid-sized businesses; national accounts, which serve large companies; and national property and other that serve large and mid-sized customers, commercial trucking industry, and agricultural businesses, as well as markets and distributes its products through brokers, wholesale agents, and program managers. The Bond & Specialty Insurance segment provides surety, fidelity, management and professional liability, and other property and casualty coverages and related risk management services through independent agencies and brokers. The Personal Insurance segment offers property and casualty insurance covering personal risks, primarily automobile and homeowners insurance to individuals through independent agencies and brokers. The Travelers Companies, Inc. was founded in 1853 and is based in New York, New York."
FSTR,Industrials,Railroads,991,"L.B. Foster Company provides engineered and manufactured products and services for the building and infrastructure projects worldwide. The company's Rail, Technologies, and Services segment offers new rail to passenger and short line freight railroads, industrial companies, and rail contractors; used rails; rail accessories, including track spikes and anchors, bolts, angle bars, tie plates, and other products; power rail, direct fixation fasteners, coverboards, and special accessories; and trackwork products, as well as engineers and manufactures insulated rail joints and related accessories. This segment also provides friction management products and application systems, railroad condition monitoring systems and equipment, wheel impact load detection systems, wayside data collection and management systems, track fasteners, and engineered concrete railroad ties; and aftermarket services. Its Precast Concrete Products segment offers a range of specialty precast concrete products, such as sound walls, burial vaults, bridge beams, box culverts, septic tanks, and other custom pre-stressed products for use in transportation and general infrastructure markets. This segment also manufactures precast concrete buildings for use as restrooms, concession stands, and protective storage buildings in national, state, and municipal parks. The company's Steel Products and Measurement segment provides bridge decking, bridge railing, structural steel fabrications, expansion joints, bridge forms, and other products for highway construction and repair. This segment also produces threaded pipe products for industrial water well, irrigation, and oil and gas markets, as well as offers pipe coatings for oil and gas pipelines and utilities, and precision measurement systems for the oil and gas market. The company markets its products directly, as well as through a network of agents. L.B. Foster Company was founded in 1902 and is headquartered in Pittsburgh, Pennsylvania."
EWBC,Financial Services,Banks—Diversified,"3,100","East West Bancorp, Inc. operates as the bank holding company for East West Bank that provides a range of personal and commercial banking services to businesses and individuals. It operates through three segments: Consumer and Business Banking, Commercial Banking, and Other. The company accepts various deposit products, such as personal and business checking and savings accounts, money market, and time deposits. Its loan products include mortgage and home equity, commercial and residential real estate, working capital lines of credit, construction, trade finance, letters of credit, commercial business, affordable housing loans, asset-based lending, asset-backed finance, project finance, and equipment financing, as well as financing services to clients needing a financial bridge to facilitate their business transactions between the United States and China. The company also provides various wealth management, treasury management, foreign exchange, and interest rate and commodity risk hedging services; and mobile and online banking services. As of January 27, 2022, it operated approximately 120 locations in the United States and China; full-service branches in Hong Kong, Shanghai, Shantou, and Shenzhen; and representative offices in Beijing, Chongqing, Guangzhou, Taipei, and Xiamen. East West Bancorp, Inc. was incorporated in 1998 and is headquartered in Pasadena, California."
XPER,Technology,Software—Application,"2,100","Xperi Inc. provides software and services in the United States. It offers Pay-TV solutions, including UX solutions that allows service providers to customize elements of the interactive program guide for their customers and to upgrade the programming features and services; IPTV solutions that supports various services and applications, such as TV programming, broadband OTT video content, digital music, and photos; managed IPTV service; video metadata and service, including schedules, listings, app content linking services, and advanced metadata, such as moods, tones, themes and topics; personalized content discovery, natural language voice, and insights; and TiVo DVR subscriptions. It also provides consumer electronics solutions, such as home and mobile audio solutions; connected car solutions, including HD Radio, automotive connected media, and in-cabin monitoring solutions; and Media Platform that provides streaming and advertising solutions. The company was incorporated in 2019 and is headquartered in San Jose, California."
FPI,Real Estate,REIT—Specialty,25,"Farmland Partners Inc. is an internally managed real estate company that owns and seeks to acquire high-quality North American farmland and makes loans to farmers secured by farm real estate. As of the date of this release, the Company owns approximately 155,000 acres in 16 states, including Alabama, Arkansas, California, Colorado, Florida, Georgia, Illinois, Kansas, Louisiana, Michigan, Mississippi, Nebraska, North Carolina, South Carolina, South Dakota and Virginia. We have approximately 26 crop types and over 100 tenants. The Company elected to be taxed as a real estate investment trust, or REIT, for U.S. federal income tax purposes, commencing with the taxable year ended December 31, 2014."
SLGG,Communication Services,Internet Content & Information,97,"Super League Gaming, Inc. builds and operates networks of games, monetization tools, and content channels across metaverse gaming platforms that empower developers, energize players, and entertain fans. The company's solutions provide access to an audience consisting of players in the metaverse environments, fans of various gaming influencers, and viewers of gameplay content across social media and digital video platforms. The company's platform includes access to in-game communities, a metaverse advertising platform, and a network of highly viewed channels and original shows on Instagram, TikTok, Snap, YouTube, and Twitch, as well as cloud-based livestream production tools and an esports invitational tournament series. Its properties also deliver opportunities for brands and advertisers to achieve insights and marketing outcomes with gamers of various ages. The company was formerly known as Nth Games, Inc. and changed its name to Super League Gaming, Inc. in June 2015. Super League Gaming, Inc. was incorporated in 2014 and is headquartered in Santa Monica, California."
COUP,Technology,Software—Application,"3,076","Coupa Software Incorporated provides cloud-based business spend management platform that connects its customers with suppliers worldwide. The company provides visibility into and control over how companies spend money, optimize supply chains, and manage liquidity, as well as enables businesses to achieve savings that drive profitability. Its platform offers procurement, invoicing, expense management, and payment solutions that form the transactional engine for managing a company's business spend; and specialized solutions, including strategic sourcing, contract management, contingent workforce, supplier risk management, supply chain design and planning, treasury management, and spend analysis. It serves businesses in various industries, including healthcare and pharmaceuticals, retail, financial services, manufacturing, and technology. The company markets its platform primarily through a direct sales force. Coupa Software Incorporated was incorporated in 2006 and is headquartered in San Mateo, California."
ROKU,Communication Services,Entertainment,"3,000","Roku, Inc., together with its subsidiaries, operates a TV streaming platform. The company operates in two segments, Platform and Player. Its platform allows users to discover and access various movies and TV episodes, as well as live TV, news sports, shows, and others. As of December 31, 2021, the company had 60.1 million active accounts. It also provides digital and video advertising, content distribution, subscription, and billing services, as well as other commerce transactions, and brand sponsorship and promotions; and manufactures, sells, and licenses smart TVs under the Roku TV name. In addition, the company offers streaming players, and audio products and accessories under the Roku brand name; and sells branded channel buttons on remote controls of streaming devices. It provides its products and services through retailers and distributors, as well as directly to customers through its website in the United States, Canada, the United Kingdom, France, Mexico, Brazil, Chile, Peru, North and South Americas, and Europe. Roku, Inc. was incorporated in 2002 and is headquartered in San Jose, California."
AVNS,Healthcare,Medical Devices,"4,555","Avanos Medical, Inc., a medical technology company, focuses on delivering medical device solutions in North America, Europe, the Middle East, Africa, the Asia Pacific, and Latin America. It offers a portfolio of chronic care products that include digestive health products, such as Mic-Key enteral feeding tubes, Corpak patient feeding solutions, and NeoMed neonatal and pediatric feeding solutions; and respiratory health products, such as closed airway suction systems and other airway management devices under the Ballard, Microcuff, and Endoclear brands. The company also provides a portfolio of non-opioid pain solutions, including acute pain products, such as On-Q and ambIT surgical pain pumps, Game Ready cold, and compression therapy systems; and interventional pain solutions, which offers minimally invasive pain-relieving therapies, such as Coolief pain relief therapy. It markets its products directly to hospitals and other healthcare providers, healthcare facilities, and other end-user customers, as well as through third-party wholesale distributors. The company was formerly known as Halyard Health, Inc. and changed its name to Avanos Medical, Inc. in June 2018. Avanos Medical, Inc. was incorporated in 2014 and is headquartered in Alpharetta, Georgia."
CIDM,Communication Services,Entertainment,134,"Cinedigm Corp., together with its subsidiaries, operates as distributor and aggregator of independent movie, television, and other short form content in the United States. The company operates through two segments, Cinema Equipment Business and Content and Entertainment Business. The company distributes its products for various brands, such as Hallmark, Televisa, ITV, Nelvana, ZDF, Konami, NFL, and NHL, as well as international and domestic content creators, movie producers, television producers, and other short form digital content producers. It also collaborates with producers, various brands, and other content owners to market, source, curate, and distribute content to targeted audiences through existing and emerging digital home entertainment platforms, including Apple, Amazon Prime, Netflix, Hulu, Xbox, Tubi, PlutoTV, Vudu, and cable/satellite video-on-demand; and distributes DVD and Blu-ray discs to wholesalers and retailers with sales coverage to approximately 48,000 retail storefronts, including Walmart, Target, Best Buy, and Amazon. In addition, the company operates various branded and curated over-the-top (OTT) entertainment channels and applications, including Docurama, CONtv, Dove Channel, Viewster Anime, Fandor, and Screambox; and Matchpoint, a software-as-a-service platform to automate the distribution of streaming content and OTT channels. Further, it provides monitoring, billing, collection, and verification support services to music and movie screens as well as directly to exhibitors and other third-party customers. The company was formerly known as Cinedigm Digital Cinema Corp. and changed its name to Cinedigm Corp. in September 2013. Cinedigm Corp. was incorporated in 2000 and is headquartered in New York, New York."
COWI,Basic Materials,Specialty Chemicals,,"CarbonMeta Technologies, Inc., a resource reclamation company, focuses on the development of technologies and solutions for processing organic wastes into carbon products. It also offers hydrogen gas, and 3d printing material. The company was formerly known as CoroWare Inc. and changed its name to CarbonMeta Technologies Inc. in November 2021. CarbonMeta Technologies, Inc. was incorporated in 2001 and is headquartered in Woodinville, Washington."
SSNT,Technology,Software—Application,165,"SilverSun Technologies, Inc. operates as a business application, technology, and consulting company in the United States. The company provides solutions for accounting and business management, financial reporting, managed services, enterprise resource planning, human capital management, warehouse management systems, customer relationship management, and business intelligence. It also offers value-added services that focuses on consulting and professional services, specialized programming, training, and technical support. In addition, the company provides managed, cybersecurity, business continuity, disaster recovery, data back-up, network maintenance and service upgrades, and application hosting services. It serves small and medium-sized businesses primarily in the manufacturing, distribution, and service industries. The company was formerly known as Trey Resources, Inc. and changed its name to SilverSun Technologies, Inc. in June 2011. SilverSun Technologies, Inc. was founded in 1988 and is headquartered in East Hanover, New Jersey."
ES,Utilities,Utilities—Regulated Electric,"9,227","Eversource Energy, a public utility holding company, engages in the energy delivery business. The company operates through Electric Distribution, Electric Transmission, Natural Gas Distribution, and Water Distribution segments. It is involved in the transmission and distribution of electricity; solar power facilities; and distribution of natural gas. The company operates regulated water utilities that provide water services to approximately 226,000 customers. It serves residential, commercial, industrial, municipal and fire protection, and other customers in Connecticut, Massachusetts, and New Hampshire. The company was formerly known as Northeast Utilities and changed its name to Eversource Energy in April 2015. Eversource Energy is based in Springfield, Massachusetts."
UHT,Real Estate,REIT—Healthcare Facilities,,"Universal Health Realty Income Trust, a real estate investment trust, invests in healthcare and human service related facilities including acute care hospitals, rehabilitation hospitals, sub-acute care facilities, medical/office buildings, free-standing emergency departments and childcare centers. We have investments in seventy-one properties located in twenty states, including two that are currently under construction."
CAPC,Industrials,Electrical Equipment & Parts,9,"Capstone Companies, Inc., through its subsidiaries, develops, markets, and sells consumer home light-emitting diode (LED) lighting products for indoor and outdoor applications worldwide. Its lighting products include connected surfacessmart mirrors, standard rectangular wardrobe/fitness mirrors, LED puck lights, LED under cabinet light bars, LED motion sensor lights, Eco-i-Lites, wireless remote-control outlets, and wireless remote-controlled LED accent lights. The company markets its products under the Capstone Lighting brand name, as well as under the Hoover Home LED brand through a network of direct sales force, retailers, and distributors. It sells its products through retail warehouse clubs, hardware centers, and e-commerce websites. The company was formerly known as CHDT Corporation and changed its name to Capstone Companies, Inc. in June 2012. Capstone Companies, Inc. was incorporated in 1986 and is headquartered in Deerfield Beach, Florida."
SPND,Energy,Oil & Gas E&P,12,"Spindletop Oil & Gas Co., an independent oil and gas company, engages in the acquisition, exploration, development, and production of oil and natural gas in Alabama, Arkansas, Louisiana, Oklahoma, New Mexico, and Texas, the United States. The company holds approximately 76,785 gross acres under lease in 14 states. As of December 31, 2021, its net proved crude oil and natural gas reserves were 186,690 barrels of oil and condensate; and 5,184 billion cubic feet of natural gas. The company is also involved in the rental of oilfield equipment and commercial real estate leasing business. In addition, it owns various miles of pipelines located in Texas, which are used for gathering natural gas, as well as transporting natural gas produced by the company and third parties. The company sells crude oil and natural gas to oil and gas companies, brokers, pipelines, and distributors, as well as oil and natural gas properties, which are acquired and sold to oil and natural gas development entities. Spindletop Oil & Gas Co. was founded in 1985 and is headquartered in Dallas, Texas."
TRMK,Financial Services,Banks—Regional,"2,717","Trustmark Corporation operates as the bank holding company for Trustmark National Bank that provides banking and other financial solutions to individuals and corporate institutions in the United States. The company operates through three segments: General Banking, Wealth Management, and Insurance. It offers checking, savings, and money market accounts; certificates of deposits and individual retirement accounts; financing for commercial and industrial projects, income-producing commercial real estate, owner-occupied real estate, and construction and land development; and installment and real estate loans, and lines of credit, as well as treasury management services. The company also provides mortgage banking services, including construction financing, production of conventional and government-insured mortgages, and secondary marketing and mortgage servicing. In addition, it provides wealth management and trust services, such as administration of personal trusts and estates; management of investment accounts for individuals, employee benefit plans, and charitable foundations; and corporate trust and institutional custody, securities brokerage, financial and estate planning, retirement plan, and investment management services. Further, the company offers business insurance products and services for medical professionals, construction, manufacturing, hospitality, real estate, and group life and health plans; and life and health insurance, and personal line policies for individual customers. As of December 31, 2021, it operated 167 full-service branches and 13 limited service branches; and 198 automated teller machines and 69 interactive teller machines. The company was founded in 1889 and is headquartered in Jackson, Mississippi."
TMDX,Healthcare,Medical Devices,148,"TransMedics Group, Inc., a commercial-stage medical technology company, engages in transforming organ transplant therapy for end-stage organ failure patients in the United States and internationally. The company offers Organ Care System (OCS), a portable organ perfusion, optimization, and monitoring system that utilizes its proprietary and customized technology to replicate near-physiologic conditions for donor organs outside of the human body. Its Organ Care System includes OCS LUNG for the preservation of standard criteria donor lungs for double-lung transplantation; OCS Heart, a technology for extracorporeal perfusion and preservation of donor hearts; and OCS Liver for the preservation of donor livers. The company was founded in 1998 and is headquartered in Andover, Massachusetts."
XAIR,Healthcare,Medical Devices,62,"Beyond Air, Inc. operates as a commercial medical device and biopharmaceutical company. The company engages in the development of LungFit platform, a nitric oxide generator and delivery system. It offers LungFit PH for the treatment of persistent pulmonary hypertension of the newborn. The company is also developing LungFit PRO for the treatment of viral lung infections, such as community-acquired viral pneumonia, including COVID-19, as well as bronchiolitis in hospitalized patients; and LungFit GO for the treatment of nontuberculous mycobacteria. The company was formerly known as AIT Therapeutics, Inc. and changed its name to Beyond Air, Inc. in June 2019. Beyond Air, Inc. is based in Garden City, New York."
INFI,Healthcare,Biotechnology,,"Infinity Pharmaceuticals, Inc., a biopharmaceutical company, focuses on developing novel medicines for people with cancer. Its product candidate is IPI-549, an orally administered clinical-stage immuno-oncology product candidate that inhibits the enzyme phosphoinositide-3-kinase-gamma, which is in Phase 2 clinical trials for the treatment of metastatic triple negative breast cancer and urothelial cancer; and Phase 1/1b clinical trials for the treatment of solid tumors. The company has strategic alliances with Intellikine, Inc. to discover, develop, and commercialize pharmaceutical products targeting the delta and/or gamma isoforms of PI3K; Verastem, Inc. to research, develop, commercialize, and manufacture duvelisib and products containing duvelisib; and PellePharm, Inc. to develop and commercialize rights to its hedgehog inhibitor program, IPI-926, a clinical-stage product candidate, as well as collaboration agreements with Arcus Biosciences, Inc., F. Hoffmann-La Roche Ltd., and Bristol Myers Squibb Company. Infinity Pharmaceuticals, Inc. was incorporated in 1995 and is headquartered in Cambridge, Massachusetts."
IFNY,Energy,Oil & Gas E&P,3,"American Noble Gas, Inc. focuses on the acquisition, exploration, and development of oil and gas resources. It has an option to acquire oil and gas properties in central Kansas covering an area of approximately 11,000 acres. The company was formerly known as Infinity Energy Resources, Inc. and changed its name to American Noble Gas, Inc. in October 2021. The company was incorporated in 1987 and is based in Lenexa, Kansas."
PEG,Utilities,Utilities—Regulated Electric,"12,684","Public Service Enterprise Group Incorporated, through its subsidiaries, operates as an energy company primarily in the Northeastern and Mid-Atlantic United States. It operates through two segments, PSE&G and PSEG Power. The PSE&G segment transmits electricity; distributes electricity and gas to residential, commercial, and industrial customers, as well as invests in solar generation projects, and energy efficiency and related programs; and offers appliance services and repairs. As of December 31, 2021, it had electric transmission and distribution system of 25,000 circuit miles and 862,000 poles; 56 switching stations with an installed capacity of 39,353 megavolt-amperes (MVA), and 235 substations with an installed capacity of 9,285 MVA; four electric distribution headquarters and five electric sub-headquarters; and 18,000 miles of gas mains, 12 gas distribution headquarters, two sub-headquarters, and one meter shop, as well as 58 natural gas metering and regulating stations. Public Service Enterprise Group Incorporated was incorporated in 1985 and is based in Newark, New Jersey."
CBNT,Basic Materials,Specialty Chemicals,12,"C-Bond Systems, Inc., a nanotechnology company, owns, develops, manufactures, and sells patented C-Bond technology in the United Sates. The company's products include C-Bond NanoShield, a patented nanotechnology windshield glass strengthening and hydrophobic all-in-one performance system to improve windshield safety and performance; C-Bond Secure, a patented non-toxic water-based nanotechnology solution to improve the strength of architectural glass and performance properties of window film-to-glass products; and C-Bond BRS, a patented nanotechnology ballistic-resistant film system that increases the structural integrity of glass. It also distributes MB-10 and Vimoba disinfectant tablets to school facilities and buses, dealerships, global distribution network, and service providers, as well as the transportation detailing, automotive, trucking, RV, rental agency, service vehicles, mass transit, golf carts, aviation, train, and marine markets. The company was founded in 2013 and is headquartered in Houston, Texas."
IMTH,Healthcare,Medical Instruments & Supplies,40,"Innovative MedTech Inc., through its subsidiaries, provides health and wellness services in the United States. The company franchises and provides adult day care center services, including nursing care, salon services, meals, and other engaging and enriching activities. It operates 2 corporate and 24 franchise located in 13 states. The company was formerly known as Fresh Harvest Products, Inc. and changed its name to Innovative MedTech Inc. in March 2021. Innovative MedTech Inc. was incorporated in 2005 and is based in Blue Island, Illinois."
PHCG,Healthcare,Drug Manufacturers—Specialty & Generic,25,"Pure Harvest Corporate Group, Inc. focuses on the acquisition and operation of licensed medical and recreational marijuana dispensaries, cultivation facilities, and production facilities. It also focuses on providing cannabis and hemp-derived health and wellness products; and applying education, research and development, and technology to various sectors. The company was formerly known as Pure Harvest Cannabis Group, Inc. and changed its name to Pure Harvest Corporate Group, Inc. in June 2020. Pure Harvest Corporate Group, Inc. was founded in 2004 and is based in Greenwood Village, Colorado."
MODV,Healthcare,Medical Care Facilities,"20,000","ModivCare Inc., a technology-enabled healthcare services company, provides a suite of integrated supportive care solutions for public and private payors and patients. The company operates through four segments: Non-Emergency Medical Transportation (NEMT), Personal Care, Remote Patient Monitoring (RPM), and the Matrix Investment. The NEMT segment offers contact center management, network credentialing, claims management, and non-emergency medical transport management services for Medicaid or Medicare eligible members, whose limited mobility or financial resources hinder their ability to access necessary healthcare and social services. The Personal Care segment provides bathing, personal hygiene, grooming, oral care, dressing, medication reminders, meal planning, preparation and feeding, housekeeping, transportation services, prescription reminders, and assistance with dressing and ambulation services through placing non-medical personal care assistants, home health aides, and skilled nurses primarily to Medicaid patients in need of care monitoring and assistance in performing daily living activities, including senior citizens and disabled adults. The RPM segment offers personal emergency response systems, vitals monitoring, medication management, and data-driven patient engagement solutions. The Matrix Investment segment provides in-home and on-site care services, as well as a fleet of mobile health clinics that offers community-based care with advanced diagnostic capabilities and care options. It serves federal, state, and local government agencies, MCOs, commercial insurers, private individuals, and health systems. The company was formerly known as The Providence Service Corporation and changed its name to ModivCare Inc. in January 2021. ModivCare Inc. was incorporated in 1996 and is headquartered in Denver, Colorado."
LEU,Energy,Uranium,266,"Centrus Energy Corp. supplies nuclear fuel and services for the nuclear power industry in the United States, Japan, Belgium, and internationally. The company operates through two segments, Low-Enriched Uranium (LEU) and Technical Solutions. The LEU segment sells separative work units (SWU) component of LEU; SWU and natural uranium components of LEU; and natural uranium for utilities that operate nuclear power plants. The Technical Solutions segment offers technical, manufacturing, engineering, procurement, construction, and operations services to public and private sector customers, including the American Centrifuge engineering and testing activities. The company was formerly known as USEC Inc. and changed its name to Centrus Energy Corp. in September 2014. Centrus Energy Corp. was incorporated in 1998 and is headquartered in Bethesda, Maryland."
ORCL,Technology,Software—Infrastructure,"143,000","Oracle Corporation offers products and services that address enterprise information technology environments worldwide. Its Oracle cloud software as a service offering include various cloud software applications, including Oracle Fusion cloud enterprise resource planning (ERP), Oracle Fusion cloud enterprise performance management, Oracle Fusion cloud supply chain and manufacturing management, Oracle Fusion cloud human capital management, Oracle Advertising, and NetSuite applications suite, as well as Oracle Fusion Sales, Service, and Marketing. The company also offers cloud-based industry solutions for various industries; Oracle application licenses; and Oracle license support services. In addition, it provides cloud and license business' infrastructure technologies, such as the Oracle Database, an enterprise database; Java, a software development language; and middleware, including development tools and others. The company's cloud and license business' infrastructure technologies also comprise cloud-based compute, storage, and networking capabilities; and Oracle autonomous database, MySQL HeatWave, Internet-of-Things, digital assistant, and blockchain. Further, it provides hardware products and other hardware-related software offerings, including Oracle engineered systems, enterprise servers, storage solutions, industry-specific hardware, virtualization software, operating systems, management software, and related hardware services; and consulting and customer services. The company markets and sells its cloud, license, hardware, support, and services offerings directly to businesses in various industries, government agencies, and educational institutions, as well as through indirect channels. Oracle Corporation was founded in 1977 and is headquartered in Austin, Texas."
FTFT,Technology,Software—Application,71,"Future FinTech Group Inc., through its subsidiaries, operates online shopping platforms in People's Republic of China. It operates in four segments: Shared Shopping Mall Membership Fee, Fruit Related Products, Sales of Goods, and Others. The company operates Chain Cloud Mall (CCM), a real-name blockchain based e-commerce platform that integrates blockchain and internet technology; and NONOGIRL, a cross-border e-commerce platform. It also engages in coal and aluminum ingots supply chain financing and trading; financial technology service; and cryptocurrency market data and information service businesses, as well as services related to the application and development of blockchain-based technology in financial technology. The company was formerly known as SkyPeople Fruit Juice, Inc. and changed its name to Future FinTech Group Inc. in June 2017. Future FinTech Group Inc. is headquartered in New York, New York."
